goal	rule	score
parent(X, harry_potter)	parent(james_potter, harry_potter)	1
friend(hermione_granger, Y)	friend(hermione_granger, fred_weasley)	1
friend(X, _EX4)	friend(hermione_granger, dumbledore)	1
friend(_EX2, X)	friend(ron_weasley, fred_weasley)	1
teacher(_EX4, X)	teacher(trelawney, divination)	1
house(Z, gryffindor)	house(ginny_weasley, gryffindor)	1
house(_EX0, X)	house(ginny_weasley, gryffindor)	1
taught_by(_EX0, X)	taught_by(hermione_granger, mcgonagall)	1
male(_EX6)	male(harry_potter)	1
house(Z, X)	house(cho_chang, ravenclaw)	1
taught_by(_EX6, _EX0)	taught_by(hermione_granger, severus_snape)	1
house(Z, gryffindor)	house(bill_weasley, gryffindor)	1
at(X, _EX6)	at(restricted_section, book_of_monsters)	1
teacher(_EX6, X)	teacher(mcgonagall, transfiguration)	1
house(_EX6, X)	house(voldemort, slytherin)	1
teacher(_EX5, X)	teacher(lockhart, defense_dark_arts)	1
height(Y, tall)	height(madame_maxime, tall)	1
must_find_date_yule_ball(Y)	must_find_date_yule_ball(X) :- at(Y, X), male(X)	1
friend(fred_weasley, _EX2)	friend(fred_weasley, luna_lovegood)	1
friend(X, _EX5)	friend(draco_malfoy, crabbe)	1
enemy(_EX1, draco_malfoy)	enemy(neville_longbottom, draco_malfoy)	1
wizard(Z)	wizard(X) :- house(X, Y), male(X)	1
taught_by(_EX2, X)	taught_by(harry_potter, remus_lupin)	1
friend(ron_weasley, dumbledore)	friend(ron_weasley, dumbledore)	1
friend(_EX3, Z)	friend(draco_malfoy, goyle)	1
friend(X, george_weasley)	friend(fred_weasley, george_weasley)	1
taught_by(_EX1, _EX2)	taught_by(ron_weasley, slughorn)	1
parent(Y, X)	parent(vernon_dursley, dudley_dursley)	1
teacher(umbridge, X)	teacher(umbridge, defense_dark_arts)	1
friend(_EX4, X)	friend(hermione_granger, remus_lupin)	1
house(X, Y)	house(hermione_granger, gryffindor)	1
house(Z, gryffindor)	house(arthur_weasley, gryffindor)	1
taught_by(_EX2, X)	taught_by(harry_potter, flitwick)	1
parent(_EX4, X)	parent(lily_potter, harry_potter)	1
taught_by(_EX1, _EX2)	taught_by(ron_weasley, remus_lupin)	1
friend(hermione_granger, fred_weasley)	friend(hermione_granger, fred_weasley)	1
male(Y)	male(voldemort)	1
teacher(_EX4, X)	teacher(lockhart, defense_dark_arts)	1
parent(X, Z)	parent(arthur_weasley, ginny_weasley)	1
house(_EX6, X)	house(luna_lovegood, ravenclaw)	1
friend(X, _EX5)	friend(fred_weasley, luna_lovegood)	1
male(_EX3)	male(hagrid)	1
teacher(_EX6, X)	teacher(trelawney, divination)	1
taught_by(_EX0, X)	taught_by(harry_potter, mcgonagall)	1
at(X, _EX6)	at(hogwarts, harry_potter)	1
friend(_EX6, X)	friend(ron_weasley, remus_lupin)	1
enemy(_EX6, peter_pettigrew)	enemy(harry_potter, peter_pettigrew)	1
